"wavelength" "sample1" "sample2" "sample3"
377 0.01323 0.00592 0.03304
378 0.01309 0.00581 0.03236
379 0.01283 0.0058 0.032
380 0.01268 0.00575 0.03148
381 0.0126 0.00597 0.03104
382 0.01242 0.00601 0.03072
383 0.01237 0.00572 0.03017
384 0.01219 0.00566 0.02968
385 0.01173 0.00562 0.02919
386 0.0116 0.00552 0.02855
387 0.01164 0.00546 0.02802
388 0.01137 0.00536 0.02742
389 0.01112 0.00517 0.02684
390 0.011 0.0052 0.02643
391 0.01089 0.00528 0.02606
392 0.01074 0.00517 0.02567
393 0.0105 0.00491 0.02518
394 0.01035 0.00475 0.02477
395 0.01039 0.00481 0.0244
396 0.01035 0.00485 0.02394
397 0.01012 0.00485 0.02348
398 0.00981 0.00462 0.02306
399 0.00966 0.00459 0.02266
400 0.00964 0.00462 0.02243
401 0.00954 0.00462 0.02229
402 0.00946 0.00471 0.022
403 0.0094 0.00462 0.02161
404 0.00923 0.00458 0.02118
405 0.00897 0.00462 0.0208
406 0.00888 0.00456 0.02054
407 0.00891 0.00456 0.02026
408 0.0088 0.00449 0.01994
409 0.00874 0.00435 0.01958
410 0.00865 0.00438 0.0193
411 0.00853 0.00424 0.019
412 0.00842 0.00432 0.01857
413 0.00835 0.00444 0.01834
414 0.00822 0.00421 0.01801
415 0.00804 0.00409 0.01759
416 0.00804 0.00406 0.01743
417 0.008 0.00394 0.01718
418 0.00783 0.00395 0.01692
419 0.00786 0.00397 0.01677
420 0.00784 0.00391 0.0166
421 0.00771 0.00403 0.01633
422 0.00757 0.00391 0.01601
423 0.00748 0.00375 0.01569
424 0.00735 0.00374 0.01544
425 0.00719 0.00375 0.01518
426 0.00725 0.0038 0.01497
427 0.00728 0.00377 0.01488
428 0.0072 0.00375 0.01466
429 0.0072 0.00371 0.01436
430 0.00719 0.00377 0.01408
431 0.00703 0.00385 0.0139
432 0.0069 0.00375 0.01372
433 0.00682 0.00371 0.0136
434 0.00681 0.00368 0.01343
435 0.00677 0.00363 0.01323
436 0.00665 0.00351 0.01294
437 0.00652 0.00339 0.01273
438 0.00645 0.00343 0.01259
439 0.00655 0.00351 0.01245
440 0.00665 0.00359 0.01239
441 0.0065 0.00352 0.01221
442 0.00629 0.00343 0.01196
443 0.00636 0.00346 0.0118
444 0.00641 0.00342 0.01164
445 0.00624 0.00337 0.01149
446 0.0062 0.00336 0.01138
447 0.0062 0.00331 0.01117
448 0.00615 0.00331 0.01094
449 0.00618 0.00331 0.01085
450 0.00615 0.0033 0.01071
451 0.00612 0.00336 0.0106
452 0.00601 0.00325 0.0105
453 0.00591 0.0031 0.01024
454 0.00592 0.0031 0.01012
455 0.00587 0.00316 0.01007
456 0.00583 0.0032 0.00995
457 0.00575 0.00305 0.00984
458 0.00572 0.00294 0.00975
459 0.00571 0.00293 0.00966
460 0.00568 0.00299 0.00957
461 0.00566 0.00301 0.0094
462 0.00569 0.00294 0.00923
463 0.00566 0.00298 0.0092
464 0.00558 0.00301 0.00914
465 0.00552 0.00304 0.00906
466 0.00552 0.00301 0.00894
467 0.00554 0.00288 0.00877
468 0.00549 0.00291 0.00865
469 0.00551 0.0029 0.00856
470 0.00546 0.00287 0.00848
471 0.00542 0.00293 0.00839
472 0.00549 0.00282 0.0083
473 0.00545 0.00279 0.00819
474 0.00534 0.00279 0.00803
475 0.00523 0.00272 0.00786
476 0.00528 0.00273 0.00781
477 0.00536 0.00282 0.00783
478 0.00528 0.00282 0.00777
479 0.00525 0.00276 0.00764
480 0.00523 0.00269 0.00755
481 0.00522 0.0027 0.00751
482 0.00522 0.00273 0.00749
483 0.00516 0.00282 0.00745
484 0.00504 0.00279 0.00737
485 0.00493 0.00255 0.0072
486 0.00493 0.00256 0.00708
487 0.00507 0.00275 0.00714
488 0.00504 0.00266 0.00705
489 0.00493 0.00261 0.00697
490 0.0049 0.0027 0.00705
491 0.00485 0.00256 0.00691
492 0.00473 0.00243 0.00668
493 0.0047 0.00243 0.00658
494 0.00479 0.00252 0.00656
495 0.00481 0.00255 0.00656
496 0.00475 0.00258 0.00658
497 0.00465 0.00253 0.00648
498 0.00462 0.00246 0.00633
499 0.00456 0.0025 0.00621
500 0.00453 0.00252 0.00616
501 0.00461 0.00253 0.00621
502 0.00453 0.00249 0.00624
503 0.0045 0.00244 0.00618
504 0.00459 0.00252 0.00613
505 0.00453 0.00247 0.00604
506 0.00446 0.00247 0.00594
507 0.0045 0.0025 0.00592
508 0.00446 0.0025 0.00587
509 0.00439 0.00255 0.00575
510 0.00436 0.00244 0.00569
511 0.00429 0.00232 0.00566
512 0.00429 0.00233 0.00562
513 0.00432 0.00237 0.00557
514 0.00426 0.0024 0.00552
515 0.0042 0.00229 0.00543
516 0.0042 0.0022 0.00536
517 0.00423 0.00229 0.00542
518 0.00429 0.00238 0.00546
519 0.0043 0.00241 0.00545
520 0.00421 0.00227 0.00536
521 0.00414 0.00218 0.0052
522 0.0041 0.00226 0.00517
523 0.00407 0.00224 0.00519
524 0.00403 0.0022 0.00508
525 0.00401 0.00223 0.00496
526 0.00392 0.00227 0.00494
527 0.00392 0.00223 0.00494
528 0.004 0.00223 0.00488
529 0.00397 0.00224 0.00482
530 0.00392 0.00218 0.00479
531 0.00386 0.00217 0.00476
532 0.00388 0.00214 0.00478
533 0.00397 0.00218 0.00478
534 0.00398 0.0022 0.00456
535 0.00397 0.00217 0.00446
536 0.00391 0.00215 0.00453
537 0.00381 0.00209 0.00455
538 0.00378 0.00212 0.00453
539 0.00383 0.00215 0.0045
540 0.00383 0.00215 0.00449
541 0.0038 0.0022 0.00447
542 0.00375 0.00226 0.00435
543 0.00374 0.00223 0.00426
544 0.00381 0.00215 0.00427
545 0.00381 0.00215 0.00423
546 0.00374 0.0022 0.00427
547 0.00381 0.00212 0.00432
548 0.00383 0.00211 0.0042
549 0.00374 0.00211 0.00404
550 0.00371 0.00206 0.00404
551 0.00372 0.00212 0.00409
552 0.00369 0.00204 0.00401
553 0.00365 0.002 0.00403
554 0.00366 0.00209 0.00403
555 0.00368 0.00208 0.00397
556 0.00374 0.00204 0.00395
557 0.00372 0.00215 0.00388
558 0.00369 0.00214 0.00381
559 0.00372 0.00206 0.00385
560 0.00365 0.00201 0.00372
561 0.00366 0.00203 0.00363
562 0.00368 0.00217 0.00374
563 0.0036 0.00214 0.00375
564 0.00359 0.00209 0.00368
565 0.00362 0.00208 0.00363
566 0.00365 0.00206 0.00366
567 0.00362 0.00208 0.00366
568 0.00359 0.00212 0.00365
569 0.00366 0.00214 0.00365
570 0.00372 0.00217 0.00365
571 0.00368 0.00215 0.00368
572 0.00362 0.00212 0.00359
573 0.00362 0.00217 0.00345
574 0.00362 0.00215 0.00345
575 0.00365 0.00212 0.00348
576 0.00359 0.00208 0.00339
577 0.00354 0.00212 0.00328
578 0.00357 0.00218 0.0033
579 0.00365 0.00218 0.00334
580 0.00362 0.00209 0.00325
581 0.00351 0.00201 0.00323
582 0.00349 0.00204 0.00325
583 0.00346 0.00203 0.00322
584 0.00349 0.00201 0.00322
585 0.00357 0.00206 0.0032
586 0.00359 0.00208 0.00322
587 0.00357 0.00203 0.00316
588 0.00359 0.00203 0.00314
589 0.00369 0.00206 0.00317
590 0.00365 0.00203 0.00311
591 0.00348 0.00201 0.00301
592 0.00348 0.002 0.00304
593 0.00352 0.00203 0.00308
594 0.00359 0.00208 0.00305
595 0.00352 0.00206 0.00307
596 0.00351 0.00197 0.00305
597 0.00357 0.00194 0.00305
598 0.00349 0.00201 0.00305
599 0.00354 0.00203 0.00302
600 0.00365 0.00209 0.00311
601 0.00363 0.00214 0.00316
602 0.0036 0.00209 0.00314
603 0.00357 0.00203 0.00305
604 0.00342 0.00194 0.00298
605 0.00339 0.00194 0.00294
606 0.00345 0.00191 0.00293
607 0.00348 0.00192 0.00298
608 0.00349 0.00198 0.00294
609 0.0034 0.00194 0.00296
610 0.0034 0.00189 0.0029
611 0.00346 0.00194 0.00279
612 0.0034 0.00194 0.00279
613 0.00336 0.00197 0.00288
614 0.00337 0.002 0.00288
615 0.00342 0.002 0.00284
616 0.00343 0.002 0.00285
617 0.00337 0.00197 0.00287
618 0.00343 0.00203 0.00287
619 0.0034 0.00208 0.00282
620 0.00336 0.00203 0.00281
621 0.00331 0.00198 0.00278
622 0.00328 0.00198 0.00276
623 0.00333 0.00201 0.00276
624 0.0033 0.002 0.00275
625 0.00331 0.00197 0.00276
626 0.00336 0.00194 0.00273
627 0.00336 0.00197 0.00269
628 0.00336 0.00198 0.00269
629 0.00339 0.00203 0.00278
630 0.00342 0.002 0.00275
631 0.00348 0.00195 0.00267
632 0.00351 0.002 0.00278
633 0.0034 0.00197 0.00278
634 0.00325 0.00185 0.00266
635 0.00327 0.00183 0.00262
636 0.00339 0.00197 0.00266
637 0.00339 0.00195 0.00269
638 0.0034 0.00194 0.00264
639 0.00336 0.00195 0.00262
640 0.00336 0.00197 0.00267
641 0.00342 0.00192 0.00253
642 0.00331 0.00186 0.00253
643 0.0034 0.00195 0.00259
644 0.00352 0.00204 0.00261
645 0.00356 0.00204 0.00269
646 0.00354 0.002 0.00264
647 0.00345 0.002 0.00256
648 0.00334 0.00186 0.0025
649 0.00328 0.00183 0.00249
650 0.00334 0.00198 0.00258
651 0.00343 0.00209 0.00267
652 0.00351 0.00217 0.00272
653 0.00348 0.00214 0.00261
654 0.0034 0.00201 0.00256
655 0.00331 0.00197 0.00255
656 0.0033 0.002 0.0025
657 0.00334 0.00198 0.00249
658 0.00342 0.00206 0.00249
659 0.0034 0.00203 0.00255
660 0.0033 0.00192 0.00253
661 0.0032 0.00183 0.00244
662 0.00319 0.00188 0.00244
663 0.00328 0.00206 0.00247
664 0.00331 0.00211 0.0025
665 0.0033 0.002 0.00253
666 0.00331 0.00192 0.00249
667 0.00328 0.00194 0.00244
668 0.00322 0.00195 0.0024
669 0.00317 0.00195 0.0024
670 0.00323 0.00194 0.00241
671 0.0032 0.00195 0.00244
672 0.00311 0.00195 0.00249
673 0.00314 0.00201 0.00241
674 0.0032 0.00204 0.0024
675 0.00322 0.00206 0.00238
676 0.00308 0.00206 0.0023
677 0.00305 0.00195 0.00232
678 0.00311 0.002 0.00233
679 0.00311 0.00209 0.00232
680 0.00311 0.002 0.00229
681 0.00311 0.00198 0.00226
682 0.00316 0.00198 0.0023
683 0.00328 0.00197 0.00233
684 0.00331 0.00198 0.00237
685 0.00331 0.00204 0.00241
686 0.0034 0.00211 0.0024
687 0.00342 0.00208 0.00235
688 0.00327 0.00206 0.00235
689 0.00319 0.00214 0.0024
690 0.00328 0.00211 0.00244
691 0.0032 0.00209 0.00244
692 0.00322 0.00218 0.00246
693 0.0033 0.00214 0.00243
694 0.00331 0.00218 0.00238
695 0.00328 0.0022 0.00233
696 0.0032 0.00211 0.00229
697 0.00308 0.00212 0.00227
698 0.00299 0.00214 0.00232
699 0.00307 0.00218 0.00241
700 0.00307 0.00215 0.00229
701 0.0029 0.00204 0.00214
702 0.00282 0.00197 0.00218
703 0.00291 0.00195 0.00229
704 0.00298 0.002 0.00227
705 0.0029 0.00194 0.00217
706 0.0029 0.00195 0.00221
707 0.00293 0.00206 0.00237
708 0.00291 0.00209 0.0024
709 0.00288 0.00209 0.00226
710 0.00285 0.00209 0.00227
711 0.0029 0.00206 0.00229
712 0.00287 0.00203 0.00226
713 0.00281 0.00206 0.00229
714 0.00288 0.00204 0.00224
715 0.00287 0.00204 0.00227
716 0.00276 0.00203 0.00227
717 0.00273 0.00197 0.00215
718 0.00278 0.00192 0.00209
719 0.00273 0.00195 0.00212
720 0.00272 0.002 0.00212
721 0.00275 0.00197 0.00211
722 0.00275 0.00192 0.00212
723 0.00275 0.00188 0.00211
724 0.00259 0.00177 0.00206
725 0.00259 0.00174 0.00201
726 0.00255 0.00175 0.00198
727 0.00247 0.00168 0.00198
728 0.00247 0.00171 0.00203
729 0.00261 0.00177 0.00197
730 0.00261 0.00182 0.00201
731 0.00255 0.00175 0.00204
732 0.00249 0.00166 0.00194
733 0.00229 0.00154 0.00182
734 0.0022 0.00139 0.00172
735 0.00221 0.00145 0.00175
736 0.00229 0.00146 0.0018
737 0.00227 0.00148 0.00171
738 0.00224 0.0015 0.00156
739 0.00227 0.00136 0.00153
740 0.00217 0.00139 0.00156
741 0.00221 0.0014 0.00163
742 0.00227 0.00139 0.00169
743 0.00223 0.00142 0.00168
744 0.00224 0.00143 0.00165
745 0.00229 0.0015 0.00169
746 0.00235 0.00153 0.00171
747 0.00227 0.00153 0.00169
748 0.0022 0.00154 0.00168
749 0.00223 0.00165 0.00172
750 0.00232 0.00166 0.00185
751 0.00243 0.00168 0.00183
752 0.0024 0.00174 0.00185
753 0.00224 0.00174 0.00183
754 0.0022 0.00175 0.00179
755 0.00238 0.00183 0.00188
756 0.00259 0.00188 0.00188
757 0.00255 0.00182 0.00182
758 0.0025 0.00188 0.00189
759 0.00261 0.00204 0.00201
760 0.00261 0.00206 0.00215
761 0.00256 0.002 0.00211
762 0.00259 0.00208 0.00206
763 0.00269 0.00215 0.00214
764 0.00269 0.00217 0.00221
765 0.00269 0.00221 0.00224
766 0.00269 0.0022 0.00221
767 0.0027 0.00218 0.00218
768 0.00269 0.00223 0.00226
769 0.00262 0.00224 0.00223
770 0.00275 0.00223 0.00217
771 0.00279 0.00218 0.00227
772 0.00282 0.00229 0.00229
773 0.00281 0.00244 0.00229
774 0.00282 0.00252 0.0025
775 0.00293 0.00252 0.00262
776 0.00288 0.00243 0.00247
777 0.00284 0.00247 0.0025
778 0.00288 0.00247 0.00262
779 0.00287 0.00238 0.00255
780 0.0029 0.00247 0.00237
781 0.00299 0.00261 0.00237
782 0.00314 0.00264 0.00255
783 0.00328 0.00272 0.00261
784 0.00316 0.00264 0.00247
785 0.00316 0.00253 0.00243
786 0.00316 0.00255 0.00256
787 0.00304 0.00247 0.00262
788 0.00307 0.00256 0.00259
789 0.00311 0.00262 0.00261
790 0.00311 0.00249 0.00264
791 0.00319 0.00247 0.00258
792 0.00319 0.00253 0.00259
793 0.00317 0.00252 0.00262
794 0.00334 0.00255 0.00264
795 0.00314 0.00262 0.00259
796 0.00298 0.00255 0.00255
797 0.00313 0.00253 0.00256
798 0.00317 0.00247 0.00253
799 0.00311 0.00246 0.00256
800 0.00311 0.00259 0.00261
801 0.00314 0.00256 0.00264
802 0.00301 0.00261 0.00273
803 0.00311 0.00276 0.00279
804 0.00328 0.00278 0.00284
805 0.00319 0.00269 0.00279
806 0.00314 0.00258 0.00269
807 0.00307 0.00256 0.00259
808 0.00296 0.00247 0.00246
809 0.00302 0.00244 0.00246
810 0.00296 0.00252 0.00249
811 0.00287 0.00238 0.00241
812 0.00291 0.00237 0.00249
813 0.00298 0.00252 0.00262
814 0.00293 0.00243 0.00255
815 0.00273 0.00235 0.00249
816 0.00269 0.00243 0.00252
817 0.00273 0.00237 0.00256
818 0.00272 0.00226 0.00244
819 0.00259 0.0022 0.00232
820 0.00247 0.00211 0.00229
821 0.00241 0.00203 0.00226
822 0.00233 0.00192 0.00233
823 0.00233 0.002 0.00229
824 0.00253 0.00203 0.0022
825 0.00253 0.00201 0.0023
826 0.00227 0.00198 0.0023
827 0.0022 0.00192 0.00215
828 0.00224 0.00175 0.00203
829 0.00224 0.00165 0.00208
830 0.00206 0.00163 0.00206
831 0.00186 0.00153 0.00189
832 0.00175 0.00137 0.00171
833 0.00169 0.00131 0.00163
834 0.00168 0.00133 0.0016
835 0.00177 0.00131 0.00157
836 0.00191 0.00146 0.00156
837 0.00191 0.00163 0.00166
838 0.00175 0.00145 0.00166
839 0.00175 0.00131 0.0015
840 0.00192 0.00137 0.00162
841 0.00183 0.00133 0.00154
842 0.00162 0.00124 0.00143
843 0.00166 0.00117 0.0015
844 0.00165 0.00105 0.00146
845 0.00168 0.00102 0.00137
846 0.00192 0.00127 0.00143
847 0.00194 0.00143 0.00148
848 0.00198 0.00137 0.00136
849 0.00197 0.00125 0.0014
850 0.00185 0.0013 0.00156
851 0.00194 0.00127 0.0016
852 0.00186 0.00116 0.00137
853 0.00166 0.00127 0.00137
854 0.00165 0.0014 0.00151
855 0.00186 0.00145 0.00131
856 0.00194 0.00127 0.00124
857 0.00182 0.00102 0.00127
858 0.00188 0.00098 0.00131
859 0.00214 0.00096 0.00137
860 0.0022 0.00119 0.00139
861 0.00224 0.00169 0.0015
862 0.00229 0.00163 0.00139
863 0.00238 0.00136 0.00134
864 0.00232 0.00131 0.00163
865 0.00214 0.00124 0.00143
866 0.00212 0.00119 0.0014
867 0.002 0.00111 0.00159
868 0.00215 0.00104 0.00153
869 0.00261 0.00134 0.00136
870 0.00261 0.00165 0.0013
871 0.00224 0.0014 0.00157
872 0.00218 0.00113 0.00159
873 0.0023 0.00117 0.00145
874 0.00244 0.00163 0.00197
875 0.00266 0.00233 0.00249
876 0.00293 0.00223 0.00243
877 0.00313 0.00204 0.00229
878 0.00322 0.00201 0.00209
879 0.00299 0.00182 0.00188
880 0.00307 0.00182 0.00188
881 0.00356 0.00162 0.00224
882 0.00348 0.0018 0.00226
883 0.00333 0.00223 0.00258
884 0.00301 0.00204 0.00284
885 0.00253 0.00171 0.00262
886 0.00273 0.00165 0.0024
887 0.00299 0.00182 0.002
888 0.00235 0.00151 0.00159
889 0.00241 0.00107 0.00177
890 0.00298 0.00208 0.00278
891 0.0031 0.00294 0.00328
892 0.00301 0.00279 0.00284
893 0.00233 0.00208 0.00217
894 0.00325 0.00172 0.0025
895 0.00452 0.00221 0.0027
896 0.00409 0.00209 0.0023
897 0.00418 0.00296 0.00227
898 0.00404 0.00395 0.00314
899 0.00323 0.00368 0.00441
900 0.00336 0.00316 0.00354
